þingmaður, orð á mín, hraðasta ræða, url, hægasta ræða, url
Halla Signý Kristjánsdóttir,133,151,http://www.althingi.is/xml/152/raedur/rad20220119T153142.xml,102,http://www.althingi.is/xml/152/raedur/rad20211216T170618.xml
Þórarinn Ingi Pétursson,122,143,http://www.althingi.is/xml/152/raedur/rad20211208T193527.xml,101,http://www.althingi.is/xml/152/raedur/rad20211208T191745.xml
Steinunn Þóra Árnadóttir,87,99,http://www.althingi.is/xml/152/raedur/rad20220119T190043.xml,73,http://www.althingi.is/xml/152/raedur/rad20211209T171718.xml
Orri Páll Jóhannsson,126,126,http://www.althingi.is/xml/152/raedur/rad20211209T172641.xml,125,http://www.althingi.is/xml/152/raedur/rad20220118T190851.xml
Þórdís Kolbrún R. Gylfadóttir,132,144,http://www.althingi.is/xml/152/raedur/rad20211213T160647.xml,102,http://www.althingi.is/xml/152/raedur/rad20220120T160337.xml
Áslaug Arna Sigurbjörnsdóttir,135,144,http://www.althingi.is/xml/152/raedur/rad20211213T185030.xml,124,http://www.althingi.is/xml/152/raedur/rad20220120T111157.xml
Jódís Skúladóttir,110,118,http://www.althingi.is/xml/152/raedur/rad20211214T130249.xml,99,http://www.althingi.is/xml/152/raedur/rad20220120T185245.xml
Bjarni Jónsson,133,141,http://www.althingi.is/xml/152/raedur/rad20211214T130817.xml,124,http://www.althingi.is/xml/152/raedur/rad20220118T135343.xml
Eva Sjöfn Helgadóttir,117,123,http://www.althingi.is/xml/152/raedur/rad20220127T120226.xml,101,http://www.althingi.is/xml/152/raedur/rad20220126T164432.xml
Tómas A. Tómasson,120,131,http://www.althingi.is/xml/152/raedur/rad20220127T172429.xml,109,http://www.althingi.is/xml/152/raedur/rad20220202T190621.xml
Jón Steindór Valdimarsson,99,108,http://www.althingi.is/xml/152/raedur/rad20211221T184449.xml,89,http://www.althingi.is/xml/152/raedur/rad20211221T153733.xml
Daði Már Kristófersson,115,143,http://www.althingi.is/xml/152/raedur/rad20211222T115115.xml,95,http://www.althingi.is/xml/152/raedur/rad20211227T152117.xml
Thomas Möller,112,122,http://www.althingi.is/xml/152/raedur/rad20211222T115712.xml,103,http://www.althingi.is/xml/152/raedur/rad20211228T145916.xml
Elín Anna Gísladóttir,131,131,http://www.althingi.is/xml/152/raedur/rad20211222T151249.xml,131,http://www.althingi.is/xml/152/raedur/rad20211222T151249.xml
Þórunn Wolfram Pétursdóttir,132,132,http://www.althingi.is/xml/152/raedur/rad20211222T152101.xml,132,http://www.althingi.is/xml/152/raedur/rad20211222T152101.xml
Arnar Þór Jónsson,123,130,http://www.althingi.is/xml/152/raedur/rad20211222T155911.xml,116,http://www.althingi.is/xml/152/raedur/rad20211222T153932.xml
Lenya Rún Taha Karim,143,143,http://www.althingi.is/xml/152/raedur/rad20211227T150217.xml,143,http://www.althingi.is/xml/152/raedur/rad20211227T150217.xml
Gunnhildur Fríða Hallgrímsdóttir,120,124,http://www.althingi.is/xml/152/raedur/rad20211227T153118.xml,116,http://www.althingi.is/xml/152/raedur/rad20211228T151914.xml
Lilja Rannveig Sigurgeirsdóttir,127,143,http://www.althingi.is/xml/152/raedur/rad20220202T150849.xml,118,http://www.althingi.is/xml/152/raedur/rad20220127T180027.xml
Sigþrúður Ármann,101,101,http://www.althingi.is/xml/152/raedur/rad20211227T162309.xml,101,http://www.althingi.is/xml/152/raedur/rad20211227T162309.xml
Viktor Stefán Pálsson,129,129,http://www.althingi.is/xml/152/raedur/rad20211228T143706.xml,129,http://www.althingi.is/xml/152/raedur/rad20211228T143706.xml
Óli Björn Kárason,83,88,http://www.althingi.is/xml/152/raedur/rad20220120T154433.xml,77,http://www.althingi.is/xml/152/raedur/rad20220127T140535.xml
Lilja Rafney Magnúsdóttir,129,143,http://www.althingi.is/xml/152/raedur/rad20220127T120003.xml,119,http://www.althingi.is/xml/152/raedur/rad20220125T143542.xml
Ásmundur Einar Daðason,135,155,http://www.althingi.is/xml/152/raedur/rad20220131T162346.xml,119,http://www.althingi.is/xml/152/raedur/rad20220131T155357.xml
Eva Dögg Davíðsdóttir,120,121,http://www.althingi.is/xml/152/raedur/rad20220201T141312.xml,120,http://www.althingi.is/xml/152/raedur/rad20220201T143841.xml
